attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
28869,96,Fremantle,"Sat, 19-Jun-2010 7:10 PM",87,Carlton,-9,13,2010,"Chris Donlon (99), Simon Meredith (126), Jacob Mollison (31), Shane Stewart (34)",http://afltables.com/afl/stats/games/2010/030820100619.html,Docklands
28415,105,Richmond,"Sat, 19-Jun-2010 7:10 PM",86,Brisbane Lions,-19,13,2010,"Michael Vozzo (247), Luke Farmer (49), Michael Jennings (6)",http://afltables.com/afl/stats/games/2010/141920100619.html,Gabba
15109,93,Port Adelaide,"Sun, 20-Jun-2010 1:10 PM",129,North Melbourne,36,13,2010,"Scott McLaren (357), Chris Kamolins (72), Troy Pannell (63)",http://afltables.com/afl/stats/games/2010/121320100620.html,Docklands
34280,119,Western Bulldogs,"Sun, 20-Jun-2010 2:40 PM (4:40 PM)",59,West Coast,-60,13,2010,"Hayden Kennedy (469), Mathew Nicholls (116), Jeff Dalgleish (12)",http://afltables.com/afl/stats/games/2010/071820100620.html,Subiaco
58208,46,Geelong,"Fri, 25-Jun-2010 7:50 PM",70,St Kilda,24,13,2010,"Brett Rosebury (187), Matt Stevic (133), Shaun Ryan (174)",http://afltables.com/afl/stats/games/2010/091520100625.html,M.C.G.
43585,96,Collingwood,"Sat, 26-Jun-2010 7:10 PM",71,Sydney,-25,13,2010,"Stephen McBurney (325), Stuart Wenn (263), Rob Findlay (24)",http://afltables.com/afl/stats/games/2010/041620100626.html,Stadium Australia
34422,73,Melbourne,"Sun, 27-Jun-2010 2:40 PM (3:10 PM)",117,Adelaide,44,13,2010,"Heath Ryan (42), Jason Armstrong (30), Scott Jeffery (176)",http://afltables.com/afl/stats/games/2010/011120100627.html,Football Park
35623,65,Brisbane Lions,"Thu, 1-Jul-2010 7:10 PM",120,Carlton,55,14,2010,"Dean Margetts (136), Shane McInerney (299), Simon Meredith (127)",http://afltables.com/afl/stats/games/2010/031920100701.html,Docklands
47454,76,Western Bulldogs,"Fri, 2-Jul-2010 7:40 PM",79,Hawthorn,3,14,2010,"Michael Vozzo (248), Stephen McBurney (326), Luke Farmer (50)",http://afltables.com/afl/stats/games/2010/071020100702.html,M.C.G.
32442,58,Port Adelaide,"Sat, 3-Jul-2010 1:10 PM (3:10 PM)",115,Fremantle,57,14,2010,"Matt Stevic (134), Michael Jennings (7), Troy Pannell (64)",http://afltables.com/afl/stats/games/2010/081320100703.html,Subiaco
